City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,268.06,68,75,5.14,SJ,1706661374
1,guymon,36.6828,-101.4816,289.15,36,0,2.06,US,1706661460
2,santa marta,11.2408,-74.199,301.42,71,54,6.17,CO,1706661460
3,invercargill,-46.4,168.35,290.94,77,92,5.81,NZ,1706661460
4,waitangi,-43.9535,-176.5597,290.83,97,100,2.24,NZ,1706661460
5,port-aux-francais,-49.35,70.2167,277.03,73,84,14.3,TF,1706661182
6,laojunmiao,39.8333,97.7333,266.21,39,100,3.48,CN,1706661460
7,klyuchi,52.2667,79.1667,258.68,90,100,2.58,RU,1706661460
8,mccook,40.2019,-100.6257,289.18,48,0,2.57,US,1706661460
9,isangel,-19.55,169.2667,300.69,69,32,0.66,VU,1706661461
10,petropavlovsk-kamchatsky,53.0452,158.6483,257.85,94,40,5.0,RU,1706661461
11,wailua homesteads,22.0669,-159.378,298.22,76,75,3.09,US,1706661192
12,pachino,36.7186,15.0907,283.08,62,5,3.5,IT,1706661461
13,lebu,-37.6167,-73.65,288.41,80,0,5.77,CL,1706661461
14,edinburgh of the seven seas,-37.0676,-12.3116,287.12,58,46,1.96,SH,1706661461
15,ribeira grande,38.5167,-28.7,287.47,87,83,3.58,PT,1706661461
16,thompson,55.7435,-97.8558,274.24,93,75,1.54,CA,1706661457
17,rio grande,-32.035,-52.0986,296.21,87,44,4.1,BR,1706661462
18,dunedin,-45.8742,170.5036,298.19,91,7,3.58,NZ,1706661180
19,adamstown,-25.066,-130.1015,298.04,76,100,12.26,PN,1706661462
20,robore,-18.3333,-59.75,298.38,70,1,1.62,BO,1706661462
21,thai nguyen,21.5928,105.8442,288.03,90,100,0.36,VN,1706661462
22,avarua,-21.2078,-159.775,302.18,70,75,3.6,CK,1706661462
23,grytviken,-54.2811,-36.5092,276.69,81,22,4.74,GS,1706661462
24,blackmans bay,-43.0167,147.3167,294.55,43,87,0.45,AU,1706661462
25,igrim,63.1906,64.4162,259.54,96,100,1.86,RU,1706661463
26,gamba,-2.65,10.0,299.59,89,100,1.29,GA,1706661463
27,tiksi,71.6872,128.8694,246.06,98,51,1.76,RU,1706661463
28,nuku'alofa,-21.1333,-175.2,301.34,89,75,2.57,TO,1706661463
29,horta,38.5333,-28.6333,287.05,87,73,3.58,PT,1706661463
30,puerto natales,-51.7236,-72.4875,281.4,85,18,1.57,CL,1706661463
31,isafjordur,66.0755,-23.124,269.87,80,62,4.67,IS,1706661187
32,manokwari,-0.8667,134.0833,301.21,75,90,1.53,ID,1706661463
33,whitehorse,60.7161,-135.0538,274.58,51,20,6.69,CA,1706661464
34,selizharovo,56.8519,33.4487,270.66,96,100,1.96,RU,1706661464
35,iqaluit,63.7506,-68.5145,251.0,71,100,3.09,CA,1706661464
36,manta,-0.95,-80.7333,300.93,74,75,5.81,EC,1706661464
37,la passe,45.5549,-0.8967,282.03,91,65,2.62,FR,1706661464
38,bethel,41.3712,-73.414,274.68,75,100,2.57,US,1706661316
39,porto novo,6.4965,2.6036,302.05,83,29,2.53,BJ,1706661464
40,afaahiti,-17.75,-149.2833,302.07,83,70,4.24,PF,1706661465
41,olonkinbyen,70.9221,-8.7187,268.63,83,100,6.25,SJ,1706661178
42,tsiombe,-25.3,45.4833,296.43,82,70,6.24,MG,1706661184
43,albany,42.6001,-73.9662,272.85,84,100,2.55,US,1706661002
44,yichun,47.7,128.9,250.96,93,100,1.08,CN,1706661465
45,abatskoye,56.2875,70.4555,255.28,97,97,3.29,RU,1706661465
46,mersa matruh,31.3525,27.2453,282.26,76,40,6.17,EG,1706661465
47,papatowai,-46.5619,169.4708,291.83,58,100,3.27,NZ,1706661465
48,kitob,39.0843,66.8332,273.35,83,100,1.19,UZ,1706661465
49,vinales,22.6164,-83.7078,289.75,68,34,2.46,CU,1706661466
50,badger,64.8,-147.5333,247.08,64,75,0.0,US,1706661334
